Site,Date,Investigators,MBU,Temp (C) ,Conductivity,DO (mg/L),DO (%),Residual depth,Transect,LULC Class,Right bank (%),Left bank (%),"Depth (cm, R->L)",Substrate type,Substrate (%),Undercut banks,Shaded cover (%),Woody debris,Macrophytes
CR,8292021,"TGQ, SC",2,na,na,na,na,na,9,B,85,5,5,cobble,80,A,0,none,minimal
CR,8292021,"TGQ, SC",2,na,na,na,na,na,9,C,,,22,gravel,20,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,9,F,,,55,sand,0,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,9,G,10,95,78,clay,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,9,O,,,85,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,9,S,,,95,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,9,U,,,100,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,9,W,,,115,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,9,WV,5,,70,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,9,,,,35,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,1,B,,,5,cobble,80,A,0,none,moderate
CR,8292021,"TGQ, SC",3,na,na,na,na,na,1,C,,,18,gravel,20,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,1,F,,,30,sand,0,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,1,G,100,100,48,clay,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,1,O,,,80,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,1,S,,,100,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,1,U,,,90,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,1,W,,,75,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,1,WV,,,75,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,1,,,,25,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,2,B,,,12,cobble,70,A,0,minimal,some
CR,8292021,"TGQ, SC",3,na,na,na,na,na,2,C,,,30,gravel,20,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,2,F,,,45,sand,5,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,2,G,60,75,65,clay,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,2,O,,,80,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,2,S,,,87,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,2,U,,,85,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,2,W,,,78,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,2,WV,40,25,55,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,2,,,,45,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,3,B,,20,5,cobble,85,A,0,none,moderate
CR,8292021,"TGQ, SC",3,na,na,na,na,na,3,C,,,25,gravel,10,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,3,F,,,45,sand,5,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,3,G,25,75,60,clay,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,3,O,,,75,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,3,S,,,90,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,3,U,,,85,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,3,W,,,85,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,3,WV,75,5,68,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,3,,,,28,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,4,B,,5,5,cobble,90,PAW,0,none,some
CR,8292021,"TGQ, SC",3,na,na,na,na,na,4,C,,,25,gravel,5,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,4,F,,,40,sand,5,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,4,G,100,95,52,clay,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,4,O,,,65,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,4,S,,,70,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,4,U,,,78,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,4,W,,,73,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,4,WV,,,58,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,4,,,,15,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,5,B,,,3,cobble,90,A,0,minimal,some
CR,8292021,"TGQ, SC",3,na,na,na,na,na,5,C,,,18,gravel,5,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,5,F,,,33,sand,5,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,5,G,70,90,40,clay,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,5,O,,,55,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,5,S,,,70,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,5,U,,,93,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,5,W,,,90,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,5,WV,30,10,75,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,5,,,,48,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,6,B,,,5,cobble,90,A,0,none,moderate
CR,8292021,"TGQ, SC",3,na,na,na,na,na,6,C,,,15,gravel,5,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,6,F,,,25,sand,5,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,6,G,40,95,35,clay,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,6,O,,,48,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,6,S,,,65,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,6,U,,,72,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,6,W,,,80,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,6,WV,60,5,60,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,6,,,,25,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,7,B,,,30,cobble,15,A,0,minimal,some
CR,8292021,"TGQ, SC",3,na,na,na,na,na,7,C,,,55,gravel,80,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,7,F,,,50,sand,5,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,7,G,100,100,54,clay,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,7,O,,,65,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,7,S,,,60,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,7,U,,,27,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,7,W,,,1,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,7,WV,,,0,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,7,,,,18,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,8,B,,,50,cobble,25,A,0,minimal,minimal
CR,8292021,"TGQ, SC",3,na,na,na,na,na,8,C,,,68,gravel,40,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,8,F,,,60,sand,35,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,8,G,70,100,55,clay,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,8,O,,,60,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,8,S,,,52,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,8,U,,,28,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,8,W,,,2,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,8,WV,30,,18,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,8,,,,11,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
